ID,initalWeight,experimentType,odor,concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2152,18.37,90-10,2pe,0.01,4,93,131,0,0,4.2.2021 16:23:01
2152,20.2,90-10_interleaved,2pe-benz,0.01-0.1,4,40,82,0,0,5.3.2021 19:35:16
2153,23.43,100-0,2pe,0.01,4,78,122,3,12,4.12.2021 13:55:40
2153,21.91,90-10,2pe,0.01,4,75,111,0,0,4.21.2021 15:50:22
2154,21.17,100-0,benzaldehyde,0.1,4,49,93,4,11,4.8.2021 19:22:35
2155,17.37,100-0,2pe,0.01,4,7,16,1,1,4.16.2021 13:18:26
2139,15.3,100-0,pinene,1,5,10,23,2,3,11.19.2020 15:47:07
2140,16.2,100-0,pinene,1,5,147,161,9,17,11.19.2020 16:36:02
2140,17.5,90-10,pinene,1,5,70,135,0,0,11.30.2020 15:08:07
2141,16.7,100-0,pinene,1,5,87,144,8,17,11.16.2020 14:50:56
2141,17.7,90-10,pinene,1,5,71,142,0,0,12.4.2020 14:42:42
2148,18.2,100-0,pinene,1,5,47,96,6,11,2.5.2021 16:59:03
2150,17.6,100-0,2pe,0.01,5,31,65,5,8,3.5.2021 17:21:41
2151,22.5,100-0,vanillin,1,5,2,9,0,1,3.3.2021 12:43:06
2152,18.7,100-0,2pe,.01,5,89,101,8,11,3.2.2021 12:27:55
2152,19.15,90-10,2pe,0.01,5,95,112,0,0,4.5.2021 20:45:59
2153,23.58,100-0,2pe,0.01,5,78,119,11,14,4.13.2021 19:15:16
2153,21.1,90-10,2pe,0.01,5,76,124,0,0,4.22.2021 18:58:37
2154,21.07,100-0,benzaldehyde,0.1,5,57,83,4,9,4.9.2021 19:04:12
2155,18.45,100-0,2pe,0.01,5,3,5,0,0,4.19.2021 19:06:09
2139,15.2,100-0,pinene,1,6,8,17,1,1,11.20.2020 13:35:42
2140,17.9,100-0,pinene,1,6,88,136,9,16,1.11.2021 17:13:40
2140,16.3,90-10,pinene,1,6,60,128,0,0,12.2.2020 15:22:08
2141,16.7,100-0,pinene,1,6,104,152,11,16,11.17.2020 14:33:03
2141,19.1,90-10,pinene,1,6,56,115,0,0,12.7.2020 12:09:16
2148,17.4,100-0,pinene,1,6,56,93,7,11,2.9.2021 17:43:43
2150,20.4,100-0,2pe,0.01,6,23,31,0,4,3.8.2021 17:44:13
2151,22.1,100-0,vanillin,1,6,8,12,0,0,3.4.2021 11:16:47
2152,18.5,100-0,2pe,.01,6,106,119,8,14,3.3.2021 11:53:25
2152,18.32,90-10,2pe,0.01,6,74,102,0,0,4.6.2021 19:39:49
2153,22.72,100-0,2pe,0.01,6,58,87,8,12,4.14.2021 17:14:42
2153,21.6,90-10,2pe,0.01,6,72,133,0,0,4.23.2021 17:06:26
2154,22.17,100-0,benzaldehyde,0.1,6,92,116,8,14,4.12.2021 13:08:01
2155,18.22,100-0,2pe,0.01,6,4,8,0,0,4.20.2021 21:27:08
2139,15.4,100-0,pinene,1,7,6,14,2,3,11.23.2020 13:38:23
2140,17.5,100-0,pinene,1,7,62,80,3,9,1.12.2021 16:35:44
2140,17.4,90-10,pinene,1,7,59,116,0,0,12.3.2020 13:56:58
2141,16.4,100-0,pinene,1,7,113,142,12,16,11.18.2020 15:31:27
2141,18.2,90-10,pinene,1,7,48,87,0,0,12.10.2020 13:37:32
2148,17.2,100-0,pinene,1,7,59,90,6,12,2.10.2021 17:05:51
2150,19.38,100-0,2pe,0.01,7,73,93,3,9,3.9.2021 17:28:00
2151,21.64,100-0,vanillin,1,7,3,8,1,1,3.5.2021 11:48:01
2152,18.5,100-0,2pe,.01,7,85,121,10,15,3.4.2021 12:08:42
2152,18.1,90-10,2pe,0.01,7,65,88,0,0,4.8.2021 17:01:16
2153,17.3,100-0,2pe,0.01,7,110,121,7,13,4.15.2021 18:41:48
2153,22.84,90-10,2pe,0.01,7,80,136,0,0,4.26.2021 19:40:41
2154,21.51,100-0,benzaldehyde,0.1,7,97,123,9,15,4.13.2021 20:46:47
2155,18.66,100-0,2pe,0.01,7,16,27,1,4,4.26.2021 20:27:36
2139,15.2,100-0,pinene,1,8,9,23,0,0,11.24.2020 11:21:58
2140,17.7,100-0,pinene,1,8,100,108,6,11,1.13.2021 16:06:22
2140,18.0,90-10,pinene,1,8,67,127,0,0,12.4.2020 13:58:47
2141,16.4,100-0,pinene,1,8,107,145,6,16,11.19.2020 17:23:38
2141,19.0,90-10,pinene,1,8,59,112,0,0,12.11.2020 14:40:57
2148,17.2,100-0,pinene,1,8,84,100,7,12,2.11.2021 16:27:38
2150,18.5,100-0,2pe,0.001,8,120,126,6,13,3.10.2021 17:35:14
2151,21.89,100-0,vanillin,0.001,8,3,6,1,1,3.11.2021 12:19:01
2152,18.45,100-0,2pe,1,8,119,132,9,14,3.5.2021 12:33:45
2152,18.38,90-10,2pe,0.01,8,102,117,0,0,4.9.2021 16:49:52
