ID,initalWeight,experimentType,odor,concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2141,18.8,100-0,vanillin,1,41,77,155,9,17,2.26.2021 14:51:24
2139,18.1,100-0,pinene,0.00001,42,133,152,8,16,2.10.2021 14:54:46
2140,18.6,100-0,2pe,0.001,42,120,170,10,19,3.10.2021 15:21:39
2141,20.93,100-0,vanillin,1,42,63,122,8,15,3.2.2021 15:53:39
2139,18.05,100-0,pinene,.00001,43,114,153,10,16,2.11.2021 14:07:58
2140,17.9,100-0,2pe,0.001,43,133,168,8,17,3.16.2021 14:39:32
2141,19.7,100-0,vanillin,1,43,68,132,7,15,3.3.2021 15:38:51
2139,17.76,100-0,pinene,0,44,162,178,6,20,2.12.2021 14:39:35
2140,17.5,100-0,2pe,0.001,44,87,173,10,20,3.17.2021 14:19:05
2141,18.80,100-0,vanillin,1,44,66,132,7,15,3.4.2021 16:21:55
2139,NaN,100-0,pinene,0,45,77,105,6,12,2.18.2021 11:53:34
2140,17.8,100-0,2pe,0.001,45,83,174,13,19,3.18.2021 14:23:41
2141,18.2,100-0,2pe,0.01,45,101,144,8,16,3.5.2021 15:52:36
2139,18.5,100-0,pinene,0,46,67,171,14,18,2.19.2021 13:07:46
2140,17.7,100-0,2pe,0.001,46,82,161,9,17,3.19.2021 12:59:26
2141,19.9,100-0,2pe,0.01,46,80,105,5,11,3.8.2021 16:06:39
2139,19.9,100-0,pinene,1,47,49,101,6,12,2.22.2021 15:20:43
2140,19.6,100-0,2pe,0.0001,47,75,155,9,16,3.22.2021 12:23:28
2141,19.0,100-0,2pe,0.01,47,101,129,7,15,3.9.2021 15:48:12
2139,19.0,100-0,vanillin,1,48,97,208,14,22,2.23.2021 16:56:50
2140,18.8,100-0,2pe,0.0001,48,75,151,8,16,3.23.2021 12:17:23
2141,18.4,100-0,2pe,0.001,48,105,138,9,16,3.10.2021 16:04:17
2139,18.2,100-0,vanillin,1,49,73,132,6,16,2.24.2021 12:06:13
2140,18.1,100-0,2pe,0.0001,49,75,138,4,16,3.24.2021 13:10:03
2141,18.5,100-0,2pe,0.001,49,100,123,6,16,3.16.2021 15:25:33
2139,17.47,100-0,vanillin,1,50,34,95,5,9,2.25.2021 15:34:54
2140,18.0,100-0,2pe,0.0001,50,71,144,9,16,3.25.2021 12:50:36
2141,17.9,100-0,2pe,0.001,50,121,134,7,16,3.17.2021 15:08:40
2139,17.5,100-0,vanillin,1,51,65,145,7,17,2.26.2021 13:25:15
2140,17.5,100-0,2pe,0.0001,51,83,166,6,18,3.26.2021 14:23:34
2141,17.8,100-0,2pe,0.001,51,111,143,3,14,3.18.2021 15:06:30
2140,19.19,100-0,2pe,0.0001,52,73,148,10,16,4.2.2021 13:23:14
2141,17.7,100-0,2pe,0.001,52,104,129,9,16,3.19.2021 13:55:13
2139,19.3,100-0,vanillin,1,53,90,109,6,12,3.3.2021 14:10:12
2140,20.19,100-0,2pe,0.0001,53,52,105,7,12,4.5.2021 13:43:51
2141,20.6,100-0,2pe,0.0001,53,63,80,3,9,3.22.2021 13:12:37
2139,18.42,100-0,vanillin,1,54,23,54,4,6,3.4.2021 14:47:50
2140,18.0,100-0,2pe,0.0001,54,84,165,8,19,4.7.2021 11:43:12
2141,19.5,100-0,2pe,0.0001,54,69,128,10,13,3.23.2021 13:03:31
2139,17.9,100-0,2pe,0.01,55,149,154,8,17,3.5.2021 14:20:54
2140,17.4,100-0,2pe,0.0001,55,122,189,9,21,4.9.2021 12:18:04
2141,18.7,100-0,2pe,0.0001,55,98,137,7,15,3.24.2021 13:53:21
2139,19.4,100-0,2pe,0.01,56,152,158,7,16,3.8.2021 14:38:05
2141,18.4,100-0,2pe,0.0001,56,72,134,8,16,3.25.2021 13:34:44
2139,18.8,100-0,2pe,0.01,57,117,127,10,13,3.9.2021 14:16:47
2141,17.8,100-0,2pe,0.0001,57,75,132,8,14,3.26.2021 15:14:55
2139,18.3,100-0,2pe,0.001,58,162,182,12,20,3.10.2021 14:38:54
2141,19.80,100-0,2pe,0.0001,58,82,119,7,14,4.2.2021 14:07:43
2139,18.3,100-0,2pe,0.001,59,137,148,10,17,3.16.2021 13:58:21
2141,20.42,100-0,2pe,0.0001,59,45,65,5,8,4.5.2021 14:28:24
2139,18.0,100-0,2pe,0.001,60,164,173,8,20,3.17.2021 13:33:29
2141,18.4,100-0,2pe,0.0001,60,75,97,4,11,4.7.2021 12:30:30
2139,18.2,100-0,2pe,0.001,61,141,156,11,17,3.18.2021 13:41:22
2141,17.7,100-0,2pe,0.0001,61,111,139,10,16,4.9.2021 13:03:04
2139,18.2,100-0,2pe,0.001,62,140,151,10,18,3.19.2021 12:17:40
2139,20.2,100-0,2pe,0.0001,63,55,60,0,7,3.22.2021 11:34:59
2139,19.3,100-0,2pe,0.0001,64,86,105,3,12,3.23.2021 11:28:24
2139,18.6,100-0,2pe,0.0001,65,124,144,6,15,3.24.2021 12:27:32
2139,18.3,100-0,2pe,0.0001,66,132,148,6,16,3.25.2021 12:08:25
2139,18.3,100-0,2pe,0.01,67,167,178,9,20,3.26.2021 13:33:07
2139,18.98,100-0,2pe,0.0001,68,96,105,4,11,4.2.2021 12:36:23
2139,20.41,100-0,2pe,0.0001,69,61,76,3,9,4.5.2021 12:58:11
2139,18.5,100-0,2pe,0.0001,70,169,183,12,20,4.7.2021 14:57:29
2139,17.7,100-0,2pe,0.0001,71,172,188,8,20,4.9.2021 11:31:43
